,ISIN,Name,Symbol,Type,TER,Dividendi,Trading Currency,info
616,IE00B6YX5F63,SPDR Bloomberg 1-3 Year Euro Government Bond UCITS ETF,SYB3,ETF,"0,15%",Distributing,EUR,"Bonds,Europe,Government,0-3"
617,LU0643975591,Xtrackers II Eurozone Government Bond UCITS ETF 1D,X03F,ETF,"0,09%",Distributing,EUR,"Bonds,Europe,Government,Allmaturities"
618,LU0643975161,Xtrackers II Germany Government Bond UCITS ETF 1C,X03G,ETF,"0,15%",Accumulating,EUR,"Bonds,Germany,Government,Allmaturities"
619,FR0010655746,Amundi ETF MSCI Spain UCITS ETF - EUR (C/D),AMES,ETF,"0,25%",Accumulating,EUR,"Equity,Spain"
620,LU0614173549,Xtrackers II Eurozone Government Bond 1-3 UCITS ETF 1D,X03B,ETF,"0,15%",Distributing,EUR,"Bonds,Europe,Government,0-3"
621,LU0614173895,Xtrackers II Eurozone Government Bond 3-5 UCITS ETF 1D,X03C,ETF,"0,15%",Distributing,EUR,"Bonds,Europe,Government,3-5"
622,LU0690964092,Xtrackers II Global Government Bond UCITS ETF 1D EUR Hedged,XGVD,ETF,"0,25%",Distributing,EUR,"Bonds,World,Government,Allmaturities"
623,LU0659579063,Xtrackers ATX UCITS ETF 1C,XB4A,ETF,"0,25%",Accumulating,EUR,"Equity,Austria"
624,IE00B4YBJ215,SPDR S&P 400 US Mid Cap UCITS ETF,SPY4,ETF,"0,30%",Accumulating,EUR,"Equity,UnitedStates,MidCap"
625,IE00B6YX5M31,SPDR Bloomberg Euro High Yield Bond UCITS ETF,SYBJ,ETF,"0,40%",Distributing,EUR,"Bonds,Europe,Corporate,Allmaturities"
626,LU0721553864,UBS ETF (LU) Bloomberg Euro Area Liquid Corporates UCITS ETF (EUR) A-dis,UEFR,ETF,"0,18%",Distributing,EUR,"Bonds,World,Corporate,Allmaturities"
627,LU0721552544,UBS ETF (LU) Bloomberg US 1-3 Year Treasury Bond UCITS ETF (USD) A-dis,UEFF,ETF,"0,12%",Distributing,EUR,"Bonds,UnitedStates,Government,0-3"
628,LU0721552973,UBS ETF (LU) Bloomberg US 7-10 Year Treasury Bond UCITS ETF (USD) A-dis,UEFI,ETF,"0,12%",Distributing,EUR,"Bonds,UnitedStates,Government,7-10"
629,IE00B7452L46,SPDR FTSE UK All Share UCITS ETF,SPYF,ETF,"0,20%",Accumulating,EUR,"Equity,UnitedKingdom"
630,IE00B5M1WJ87,SPDR S&P Euro Dividend Aristocrats UCITS ETF,SPYW,ETF,"0,30%",Distributing,EUR,"Equity,Europe,Dividend"
631,IE00B6S2Z822,SPDR S&P UK Dividend Aristocrats UCITS ETF,SPYG,ETF,"0,30%",Distributing,EUR,"Equity,UnitedKingdom,Dividend"
632,IE00B6YX5C33,SPDR S&P 500 UCITS ETF,SPY5,ETF,"0,09%",Distributing,EUR,"Equity,UnitedStates"
633,IE00B6YX5K17,SPDR Bloomberg 1-5 Year Gilt UCITS ETF,SYB5,ETF,"0,15%",Distributing,EUR,"Bonds,UnitedKingdom,Government,3-5"
634,IE00B6YX5L24,SPDR Bloomberg 15+ Year Gilt UCITS ETF,SYBL,ETF,"0,15%",Distributing,EUR,"Bonds,UnitedKingdom,Government,10+"
635,IE00B4694Z11,SPDR Bloomberg Sterling Corporate Bond UCITS ETF,SYBS,ETF,"0,20%",Distributing,EUR,"Bonds,UnitedKingdom,Corporate,Allmaturities"
636,IE00B3W74078,SPDR Bloomberg UK Gilt UCITS ETF,SYBG,ETF,"0,15%",Distributing,EUR,"Bonds,UnitedKingdom,Government,Allmaturities"
637,IE00B77D4428,UBS ETF (IE) MSCI USA UCITS ETF (USD) A-dis,UBU3,ETF,"0,14%",Distributing,EUR,"Equity,UnitedStates"
638,IE00B78JSG98,UBS ETF (IE) MSCI USA Value UCITS ETF (USD) A-dis,UBU5,ETF,"0,20%",Distributing,EUR,"Equity,UnitedStates,Value"
639,IE00B7KQ7B66,UBS ETF (IE) MSCI World UCITS ETF (USD) A-dis,UBU7,ETF,"0,30%",Distributing,EUR,"Equity,World"
640,IE00B7K93397,UBS ETF (IE) S&P 500 UCITS ETF (USD) A-dis,UBU9,ETF,"0,12%",Distributing,EUR,"Equity,UnitedStates"
641,LU0779800910,Xtrackers CSI300 Swap UCITS ETF 1C,XCHA,ETF,"0,50%",Accumulating,EUR,"Equity,China"
642,LU0659580079,Xtrackers MSCI Japan UCITS ETF 4C EUR Hedged,XMK9,ETF,"0,40%",Accumulating,EUR,"Equity,Japan"
643,LU0659579147,Xtrackers MSCI Pakistan Swap UCITS ETF 1C,XBAK,ETF,"0,85%",Accumulating,EUR,"Equity,Pakistan"
644,LU0592215403,Xtrackers MSCI Philippines UCITS ETF 1C,XPQP,ETF,"0,65%",Accumulating,EUR,"Equity,Philippines"
645,LU0659578842,Xtrackers MSCI Singapore UCITS ETF 1C,XBAS,ETF,"0,50%",Accumulating,EUR,"Equity,Singapore"
646,LU0613540268,Xtrackers II Italy Government Bond 0-1 Swap UCITS ETF 1C,XBO2,ETF,"0,15%",Accumulating,EUR,"Bonds,Italy,Government,0-3"
647,IE00B7WK2W23,UBS ETF (IE) MSCI AC Asia Ex Japan SF UCITS ETF (USD) A-acc,UIQI,ETF,"0,23%",Accumulating,EUR,"Equity,AsiaPacific"
648,IE00B802KR88,SPDR S&P 500 Low Volatility UCITS ETF,SPY1,ETF,"0,35%",Accumulating,EUR,"Equity,UnitedStates,LowVolatility/RiskWeighted"
649,IE00B8GF1M35,SPDR Dow Jones Global Real Estate UCITS ETF,SPYJ,ETF,"0,40%",Distributing,EUR,"RealEstate,World"
650,LU0832435464,Lyxor S&P 500 VIX Futures Enhanced Roll UCITS ETF - Acc,VOOL,ETF,"0,60%",Accumulating,EUR,"Equity,UnitedStates,Volatility"
651,LU0832436512,Lyxor SG Global Quality Income NTR UCITS ETF - Dist,LGQI,ETF,"0,45%",Distributing,EUR,"Equity,World,Dividend"
652,LU0838782315,Xtrackers DAX ESG Screened UCITS ETF,XDDX,ETF,"0,09%",Distributing,EUR,"Equity,Germany,Social/Environmental"
653,LU0838780707,Xtrackers FTSE 100 UCITS ETF 1C,XDUK,ETF,"0,09%",Accumulating,EUR,"Equity,UnitedKingdom"
654,LU0820950128,Xtrackers II EUR Covered Bond Swap UCITS ETF 1C,XLIQ,ETF,"0,20%",Accumulating,EUR,"Bonds,World,CoveredBonds,Allmaturities"
655,LU0846194776,Xtrackers MSCI EMU UCITS ETF 1D,XD5E,ETF,"0,12%",Distributing,EUR,"Equity,Europe"
656,IE00B7KMNP07,UBS ETF (IE) Solactive Global Pure Gold Miners UCITS ETF (USD) A-dis,UBUD,ETF,"0,43%",Distributing,EUR,"Equity,World,BasicMaterials,GoldMining"
657,IE00B910VR50,SPDR MSCI EMU UCITS ETF,ZPRE,ETF,"0,18%",Accumulating,EUR,"Equity,Europe"
658,LU0839027447,Xtrackers Nikkei 225 UCITS ETF 1D,XDJP,ETF,"0,09%",Distributing,EUR,"Equity,Japan"
659,IE00B7MXFZ59,SPDR Bloomberg EM Inflation Linked Local Bond UCITS ETF,SYBI,ETF,"0,55%",Distributing,EUR,"Bonds,EmergingMarkets,Inflation-Linked,Allmaturities"
660,IE00B9CQXS71,SPDR S&P Global Dividend Aristocrats UCITS ETF,ZPRG,ETF,"0,45%",Distributing,EUR,"Equity,World,Dividend"
661,IE00B9KNR336,SPDR S&P Pan Asia Dividend Aristocrats UCITS ETF,ZPRA,ETF,"0,55%",Distributing,EUR,"Equity,AsiaPacific,Dividend"
662,IE00B53H0131,UBS ETF (IE) CMCI Composite SF UCITS ETF (USD) A-acc,UIQK,ETF,"0,34%",Accumulating,EUR,"Commodities,Broadmarket"
663,DE000ETFL433,Deka DAX ex Financials 30 UCITS ETF,ELF0,ETF,"0,30%",Distributing,EUR,"Equity,Germany"
664,LU0879397742,UBS ETF (LU) SBI Foreign AAA-BBB 1-5 ESG UCITS ETF (CHF) A-dis,UEFY,ETF,"0,20%",Distributing,EUR,"Bonds,Switzerland,Aggregate,3-5"
665,LU0879399441,UBS ETF (LU) SBI Foreign AAA-BBB 5-10 ESG UCITS ETF (CHF) A-dis,UEFZ,ETF,"0,20%",Distributing,EUR,"Bonds,Switzerland,Aggregate,7-10"
666,IE00BC7GZW19,SPDR Bloomberg 0-3 Year Euro Corporate Bond UCITS ETF,SYBD,ETF,"0,20%",Distributing,EUR,"Bonds,World,Corporate,0-3"
667,IE00BC7GZX26,SPDR Bloomberg 0-3 Year US Corporate Bond UCITS ETF,SYBF,ETF,"0,12%",Distributing,EUR,"Bonds,World,Corporate,0-3"
668,IE00BC7GZJ81,SPDR Bloomberg 1-3 Year U.S. Treasury Bond UCITS ETF,SYBW,ETF,"0,15%",Distributing,EUR,"Bonds,UnitedStates,Government,0-3"
669,LU0908508731,Xtrackers II Global Government Bond UCITS ETF 5C,XG7S,ETF,"0,20%",Accumulating,EUR,"Bonds,World,Government,Allmaturities"
670,LU0908508814,Xtrackers II Global Inflation-Linked Bond UCITS ETF 5C,XGIU,ETF,"0,20%",Accumulating,EUR,"Bonds,World,Inflation-Linked,Allmaturities"
671,LU0659579733,Xtrackers MSCI World Swap UCITS ETF 4C EUR Hedged,XWEH,ETF,"0,39%",Accumulating,EUR,"Equity,World"
672,LU0925589839,Xtrackers II iBoxx Eurozone Government Bond Yield Plus 1-3 UCITS ETF 1C,XYP1,ETF,"0,15%",Accumulating,EUR,"Bonds,Europe,Government,0-3"
673,IE00B99FL386,SPDR Bloomberg SASB US High Yield Corporate ESG UCITS ETF (Dist),SYBK,ETF,"0,30%",Distributing,EUR,"Bonds,World,Corporate,Allmaturities"
674,IE00B5L01S80,HSBC FTSE EPRA/NAREIT Development UCITS ETF,H4ZL,ETF,"0,24%",Distributing,EUR,"RealEstate,World"
675,IE00BBQ2W338,HSBC MSCI AC Far East ex Japan UCITS ETF USD,H411,ETF,"0,45%",Accumulating,EUR,"Equity,AsiaPacific"
676,IE00B51B7Z02,HSBC MSCI Canada UCITS ETF,H4ZR,ETF,"0,35%",Distributing,EUR,"Equity,Canada"
677,IE00B44T3H88,HSBC MSCI China UCITS ETF,H4ZP,ETF,"0,30%",Distributing,EUR,"Equity,China"
678,IE00B4TS3815,HSBC MSCI EM Latin America UCITS ETF,H4ZW,ETF,"0,60%",Distributing,EUR,"Equity,LatinAmerica"
679,IE00B5SSQT16,HSBC MSCI Emerging Markets UCITS ETF,H410,ETF,"0,15%",Distributing,EUR,"Equity,EmergingMarkets"
680,IE00B46G8275,HSBC MSCI Indonesia UCITS ETF,H4ZT,ETF,"0,50%",Distributing,EUR,"Equity,Indonesia"
681,IE00B3Z0X395,HSBC MSCI Korea Capped UCITS ETF,H4Z9,ETF,"0,50%",Distributing,EUR,"Equity,SouthKorea"
682,IE00B3QMYK80,HSBC MSCI Mexico Capped UCITS ETF,H4ZS,ETF,"0,50%",Distributing,EUR,"Equity,Mexico"
683,IE00B3S1J086,HSBC MSCI Taiwan Capped UCITS ETF,H4ZU,ETF,"0,50%",Distributing,EUR,"Equity,Taiwan"
684,IE00B5BRQB73,HSBC MSCI Turkey UCITS ETF,H4ZK,ETF,"0,50%",Distributing,EUR,"Equity,Turkey"
685,IE00B4X9L533,HSBC MSCI World UCITS ETF,H4ZJ,ETF,"0,15%",Distributing,EUR,"Equity,World"
686,IE00B9MRHC27,Xtrackers MSCI Nordic UCITS ETF 1D,XDN0,ETF,"0,30%",Distributing,EUR,"Equity,Europe"
687,FR0011475078,Lyxor Japan (TOPIX) (DR) UCITS ETF - Daily Hedged to EUR - Dist,JPNH,ETF,"0,45%",Distributing,EUR,"Equity,Japan"
688,FR0011550185,BNP Paribas Easy S&P 500 UCITS ETF - C,ESEE,ETF,"0,15%",Accumulating,EUR,"Equity,UnitedStates"
689,FR0011550193,BNP Paribas Easy STOXX Europe 600 UCITS ETF EUR - C,ETSZ,ETF,"0,20%",Accumulating,EUR,"Equity,Europe"
690,LU0494592974,Xtrackers II Australia Government Bond UCITS ETF 1C,XCS2,ETF,"0,25%",Accumulating,EUR,"Bonds,Australia,Government,Allmaturities"
691,IE00BCBJG560,SPDR MSCI World Small Cap UCITS ETF,ZPRS,ETF,"0,45%",Accumulating,EUR,"Equity,World,SmallCap"
692,LU0962078753,Xtrackers II Global Inflation-Linked Bond UCITS ETF 1D EUR Hedged,XGII,ETF,"0,25%",Distributing,EUR,"Bonds,World,Inflation-Linked,Allmaturities"
693,LU0962071741,Xtrackers II iBoxx Eurozone Government Bond Yield Plus UCITS ETF 1D,XYPD,ETF,"0,15%",Distributing,EUR,"Bonds,Europe,Government,Allmaturities"
694,LU0952581584,Xtrackers II Japan Government Bond UCITS ETF 1C,XJSE,ETF,"0,15%",Accumulating,EUR,"Bonds,Japan,Government,Allmaturities"
695,IE00BD4TYG73,UBS ETF (IE) MSCI USA hedged EUR UCITS ETF (EUR) A-acc,UBUJ,ETF,"0,19%",Accumulating,EUR,"Equity,UnitedStates"
696,LU0875160326,Xtrackers Harvest CSI300 UCITS ETF 1D,RQFI,ETF,"0,65%",Distributing,EUR,"Equity,China"
697,IE00B9MRJJ36,Xtrackers MDAX ESG Screened UCITS ETF,XDGM,ETF,"0,40%",Distributing,EUR,"Equity,Germany,MidCap"
698,IE00BCBJF711,SPDR Bloomberg 0-5 Year Sterling Corporate Bond UCITS ETF,SYBQ,ETF,"0,20%",Distributing,EUR,"Bonds,UnitedKingdom,Corporate,3-5"
699,IE00BH361H73,Xtrackers MSCI North America High Dividend Yield UCITS ETF 1C,XDND,ETF,"0,39%",Accumulating,EUR,"Equity,NorthAmerica,Dividend"
700,IE00BGHQ0G80,Xtrackers MSCI AC World ESG Screened UCITS ETF 1C,XMAW,ETF,"0,25%",Accumulating,EUR,"Equity,World,Social/Environmental"
701,IE00BFTWP510,SPDR EURO STOXX Low Volatility UCITS ETF,ZPRL,ETF,"0,30%",Accumulating,EUR,"Equity,Europe,LowVolatility/RiskWeighted"
702,LU1033693638,Lyxor MDAX ESG UCITS ETF,C007,ETF,"0,30%",Distributing,EUR,"Equity,Germany,MidCap"
703,LU0942970103,Xtrackers II ESG Global Aggregate Bond UCITS ETF 1D,XBAG,ETF,"0,10%",Distributing,EUR,"Bonds,World,Aggregate,Allmaturities"
704,LU0942970798,Xtrackers II ESG Global Aggregate Bond UCITS ETF 5C EUR Hedged,XBAE,ETF,"0,15%",Accumulating,EUR,"Bonds,World,Aggregate,Allmaturities"
705,DE000ETFL441,Deka MDAX UCITS ETF,ELF1,ETF,"0,30%",Accumulating,EUR,"Equity,Germany,MidCap"
706,IE00BHBFDF83,L&G E Fund MSCI China A UCITS ETF USD Acc,CASH,ETF,"0,88%",Accumulating,EUR,"Equity,China"
707,IE00BHZKHS06,L&G US Energy Infrastructure MLP UCITS ETF USD Dist,XMLP,ETF,"0,25%",Distributing,EUR,"Equity,UnitedStates,Infrastructure,MLP"
708,IE00BJ0KDR00,Xtrackers MSCI USA UCITS ETF 1C,XD9U,ETF,"0,07%",Accumulating,EUR,"Equity,UnitedStates"
709,IE00BKM4GZ66,iShares Core MSCI EM IMI UCITS ETF USD (Acc),IS3N,ETF,"0,18%",Accumulating,EUR,"Equity,EmergingMarkets"
710,IE00BKM4H312,iShares MSCI USA Quality Dividend ESG UCITS ETF,QDVD,ETF,"0,35%",Distributing,EUR,"Equity,UnitedStates,Dividend"
711,FR0010791194,Amundi ETF Short MSCI USA Daily UCITS ETF - EUR (C/D),GC2U,ETF,"0,35%",Accumulating,EUR,"Equity,UnitedStates"
712,FR0010790980,Amundi ETF STOXX Europe 50 UCITS ETF - EUR (C/D),AE50,ETF,"0,15%",Accumulating,EUR,"Equity,Europe"
713,LU1048314196,UBS ETF (LU) Bloomberg Euro Area Liquid Corporates 1-5 Year UCITS ETF (EUR) A-dis,UEF6,ETF,"0,18%",Distributing,EUR,"Bonds,Europe,Corporate,3-5"
714,LU1048317025,UBS ETF (LU) Bloomberg US Liquid Corporates UCITS ETF (hedged to EUR) A-acc,UEF0,ETF,"0,23%",Accumulating,EUR,"Bonds,UnitedStates,Corporate,Allmaturities"
715,LU1048316647,UBS ETF (LU) Bloomberg US Liquid Corporates UCITS ETF (USD) A-dis,UEF9,ETF,"0,18%",Distributing,EUR,"Bonds,UnitedStates,Corporate,Allmaturities"
716,FR0011857234,Lyxor German Mid-Cap MDAX UCITS ETF - Dist,MD4X,ETF,"0,20%",Distributing,EUR,"Equity,Germany,MidCap"
717,IE00BJ38QD84,SPDR Russell 2000 U.S. Small Cap UCITS ETF,ZPRR,ETF,"0,30%",Accumulating,EUR,"Equity,UnitedStates,SmallCap"
718,IE00B4K48X80,iShares Core MSCI Europe UCITS ETF EUR (Acc),EUNK,ETF,"0,12%",Accumulating,EUR,"Equity,Europe"
719,IE00B4L5Y983,iShares Core MSCI World UCITS ETF,EUNL,ETF,"0,20%",Accumulating,EUR,"Equity,World"
720,IE00B2QWDY88,iShares MSCI Japan Small Cap UCITS ETF USD (Dist),IUS4,ETF,"0,58%",Distributing,EUR,"Equity,Japan,SmallCap"
721,IE00BJ0KDQ92,Xtrackers MSCI World UCITS ETF 1C,XDWD,ETF,"0,19%",Accumulating,EUR,"Equity,World"
722,IE00BLNMYC90,Xtrackers S&P 500 Equal Weight UCITS ETF 1C,XDEW,ETF,"0,25%",Accumulating,EUR,"Equity,UnitedStates,EqualWeighted"
723,IE00B23LNQ02,Invesco FTSE RAFI All World 3000 UCITS ETF Dist,PSWD,ETF,"0,39%",Distributing,EUR,"Equity,World,Fundamental/Quality"
724,IE00BMP3HG27,UBS (Irl) ETF plc - S&P Dividend Aristocrats ESG Elite UCITS ETF (USD) A-dis,UBUM,ETF,"0,30%",Distributing,EUR,"Equity,World,Dividend"
725,LU1048313891,UBS ETF (LU) MSCI Emerging Markets Socially Responsible UCITS ETF (USD) A-dis,UEF5,ETF,"0,27%",Distributing,EUR,"Equity,EmergingMarkets,Social/Environmental"
726,IE00BP8FKB21,Xtrackers FTSE Developed Europe ex UK Real Estate UCITS ETF 1C,XREA,ETF,"0,33%",Accumulating,EUR,"RealEstate,Europe"
727,IE00BL25JN58,Xtrackers MSCI World Minimum Volatility UCITS ETF 1C,XDEB,ETF,"0,25%",Accumulating,EUR,"Equity,World,LowVolatility/RiskWeighted"
728,IE00BL25JP72,Xtrackers MSCI World Momentum UCITS ETF 1C,XDEM,ETF,"0,25%",Accumulating,EUR,"Equity,World,Momentum"
729,IE00BL25JL35,Xtrackers MSCI World Quality UCITS ETF 1C,XDEQ,ETF,"0,25%",Accumulating,EUR,"Equity,World,Fundamental/Quality"
730,IE00BL25JM42,Xtrackers MSCI World Value UCITS ETF 1C,XDEV,ETF,"0,25%",Accumulating,EUR,"Equity,World,Value"
731,IE00B1FZSC47,iShares USD TIPS UCITS ETF USD (Acc),IUST,ETF,"0,10%",Accumulating,EUR,"Bonds,UnitedStates,Inflation-Linked,Allmaturities"
732,IE0031442068,iShares Core S&P 500 UCITS ETF USD (Dist),IUSA,ETF,"0,07%",Distributing,EUR,"Equity,UnitedStates"
733,IE00B0M63177,iShares MSCI Emerging Markets UCITS ETF (Dist),IQQE,ETF,"0,18%",Distributing,EUR,"Equity,EmergingMarkets"
734,IE00BCLWRF22,iShares MSCI EMU Large Cap UCITS ETF EUR (Acc),IS3G,ETF,"0,49%",Accumulating,EUR,"Equity,Europe,LargeCap"
735,IE00BCLWRD08,iShares MSCI EMU Mid Cap UCITS ETF EUR (Acc),IS3H,ETF,"0,49%",Accumulating,EUR,"Equity,Europe,MidCap"
736,IE00B0M62Q58,iShares MSCI World UCITS ETF USD (Dist),IQQW,ETF,"0,50%",Distributing,EUR,"Equity,World"
737,IE00BNH72088,SPDR Refinitiv Global Convertible Bond UCITS ETF,ZPRC,ETF,"0,50%",Distributing,EUR,"Bonds,World,ConvertibleBonds,Allmaturities"
738,IE00B4PY7Y77,iShares USD High Yield Corp Bond UCITS ETF USD (Dist),IS0R,ETF,"0,50%",Distributing,EUR,"Bonds,World,Corporate,Allmaturities"
739,IE00B66F4759,iShares EUR High Yield Corp Bond UCITS ETF,EUNW,ETF,"0,50%",Distributing,EUR,"Bonds,World,Corporate,Allmaturities"
740,IE00B0M62X26,iShares EUR Inflation Linked Govt Bond UCITS ETF EUR (Acc),IBCI,ETF,"0,25%",Accumulating,EUR,"Bonds,Europe,Inflation-Linked,Allmaturities"
741,IE00B3F81R35,iShares Core EUR Corp Bond UCITS ETF EUR (Dist),EUN5,ETF,"0,20%",Distributing,EUR,"Bonds,World,Corporate,Allmaturities"
742,IE00B1YZSC51,iShares Core MSCI Europe UCITS ETF EUR (Dist),IQQY,ETF,"0,12%",Distributing,EUR,"Equity,Europe"
743,IE00B5377D42,iShares MSCI Australia UCITS ETF USD (Acc),IBC6,ETF,"0,50%",Accumulating,EUR,"Equity,Australia"
744,IE00BP46NG52,SPDR ICE BofA 0-5 Year EM USD Government Bond UCITS ETF,ZPR5,ETF,"0,42%",Distributing,EUR,"Bonds,EmergingMarkets,Government,3-5"
745,IE00BLSNMW37,Invesco Global Buyback Achievers UCITS ETF Dist,BBCK,ETF,"0,39%",Distributing,EUR,"Equity,World,Buyback"
746,IE00BS7K8821,SPDR Bloomberg 3-5 Year Euro Government Bond UCITS ETF,SYB4,ETF,"0,15%",Distributing,EUR,"Bonds,Europe,Government,3-5"
747,LU1048314949,UBS ETF (LU) Bloomberg US Liquid Corporates 1-5 UCITS ETF (USD) A-dis,UEF7,ETF,"0,18%",Distributing,EUR,"Bonds,UnitedStates,Corporate,3-5"
748,IE00BKWQ0C77,SPDR MSCI Europe Consumer Discretionary UCITS ETF,SPYR,ETF,"0,18%",Accumulating,EUR,"Equity,Europe,ConsumerDiscretionary"
749,IE00BKWQ0D84,SPDR MSCI Europe Consumer Staples UCITS ETF,SPYC,ETF,"0,18%",Accumulating,EUR,"Equity,Europe,ConsumerStaples"
750,IE00BKWQ0F09,SPDR MSCI Europe Energy UCITS ETF,SPYN,ETF,"0,18%",Accumulating,EUR,"Equity,Europe,Energy"
751,IE00BKWQ0G16,SPDR MSCI Europe Financials UCITS ETF,SPYZ,ETF,"0,18%",Accumulating,EUR,"Equity,Europe,Financials"
752,IE00BKWQ0H23,SPDR MSCI Europe Health Care UCITS ETF,SPYH,ETF,"0,18%",Accumulating,EUR,"Equity,Europe,HealthCare"
753,IE00BKWQ0J47,SPDR MSCI Europe Industrials UCITS ETF,SPYQ,ETF,"0,18%",Accumulating,EUR,"Equity,Europe,Industrials"
754,IE00BKWQ0L68,SPDR MSCI Europe Materials UCITS ETF,SPYP,ETF,"0,18%",Accumulating,EUR,"Equity,Europe,BasicMaterials"
755,IE00BKWQ0K51,SPDR MSCI Europe Technology UCITS ETF,SPYK,ETF,"0,18%",Accumulating,EUR,"Equity,Europe,Technology"
756,IE00BKWQ0N82,SPDR MSCI Europe Telecommunication Services UCITS ETF,SPYT,ETF,"0,18%",Accumulating,EUR,"Equity,Europe,Telecommunication"
757,IE00BKWQ0Q14,SPDR MSCI Europe UCITS ETF,SPYE,ETF,"0,25%",Accumulating,EUR,"Equity,Europe"
758,IE00BKWQ0P07,SPDR MSCI Europe Utilities UCITS ETF,SPYU,ETF,"0,18%",Accumulating,EUR,"Equity,Europe,Utilities"
759,IE00BRKWGL70,Invesco S&P 500 UCITS ETF EUR Hedged Acc,E500,ETF,"0,05%",Accumulating,EUR,"Equity,UnitedStates"
760,IE00BMW3QX54,L&G ROBO Global Robotics and Automation UCITS ETF USD Acc,IROB,ETF,"0,80%",Accumulating,EUR,"Equity,World,Technology,Robotics&Automation"
761,LU1109939865,Xtrackers II EUR High Yield Corporate Bond 1-3 Swap UCITS ETF 1D,XHY1,ETF,"0,25%",Distributing,EUR,"Bonds,World,Corporate,0-3"
762,LU1109942653,Xtrackers II EUR High Yield Corporate Bond UCITS ETF 1D,XHYG,ETF,"0,20%",Distributing,EUR,"Bonds,World,Corporate,Allmaturities"
763,IE00BSKRJX20,iShares EUR Govt Bond 20yr Target Duration UCITS ETF EUR (Dist),IS05,ETF,"0,15%",Distributing,EUR,"Bonds,Europe,Government,10+"
764,LU1079842321,Ossiam Shiller Barclays Cape Europe Sector Value TR UCITS ETF 1C (EUR),EUPE,ETF,"0,65%",Accumulating,EUR,"Equity,Europe,SectorStrategy"
765,IE00BSPLC298,SPDR MSCI Europe Small Cap Value Weighted UCITS ETF,ZPRX,ETF,"0,30%",Accumulating,EUR,"Equity,Europe,SmallCap"
766,IE00BSPLC306,SPDR MSCI Europe Value UCITS ETF,ZPRW,ETF,"0,20%",Accumulating,EUR,"Equity,Europe,Value"
767,IE00BSPLC413,SPDR MSCI USA Small Cap Value Weighted UCITS ETF,ZPRV,ETF,"0,30%",Accumulating,EUR,"Equity,UnitedStates,SmallCap"
768,IE00BSPLC520,SPDR MSCI USA Value UCITS ETF,ZPRU,ETF,"0,20%",Accumulating,EUR,"Equity,UnitedStates,Value"
769,IE00BQXKVQ19,Xtrackers MSCI GCC Select Swap UCITS ETF 1C,XGLF,ETF,"0,65%",Accumulating,EUR,"Equity,EmergingMarkets"
770,DE000ETFL458,Deka MSCI Europe ex EMU UCITS ETF,ELF5,ETF,"0,30%",Distributing,EUR,"Equity,Europe"
771,IE00BQQ3Q067,WisdomTree Emerging Markets Equity Income UCITS ETF,WTEI,ETF,"0,46%",Distributing,EUR,"Equity,EmergingMarkets,Dividend"
772,IE00BQZJBM26,WisdomTree Emerging Markets SmallCap Dividend UCITS ETF,WTED,ETF,"0,54%",Distributing,EUR,"Equity,EmergingMarkets,SmallCap"
773,IE00BQZJBX31,WisdomTree Europe Equity Income UCITS ETF,WTEE,ETF,"0,29%",Distributing,EUR,"Equity,Europe,Dividend"
774,IE00BQZJC527,WisdomTree Europe SmallCap Dividend UCITS ETF,WTES,ETF,"0,38%",Distributing,EUR,"Equity,Europe,SmallCap"
775,IE00BQZJBQ63,WisdomTree US Equity Income UCITS ETF,WTEU,ETF,"0,29%",Distributing,EUR,"Equity,UnitedStates,Dividend"
776,IE00B50XJX92,UBS ETF (IE) CMCI Composite SF UCITS ETF (hedged to GBP) A-acc,UEQ3,ETF,"0,34%",Accumulating,GBP,"Commodities,Broadmarket"
777,IE00BVGC6645,Invesco JPX-Nikkei 400 UCITS ETF EUR Hdg Acc,NS4E,ETF,"0,19%",Accumulating,EUR,"Equity,Japan"
778,IE00BJZ2DD79,Xtrackers Russell 2000 UCITS ETF 1C,XRS2,ETF,"0,30%",Accumulating,EUR,"Equity,UnitedStates,SmallCap"
779,IE00BJZ2DC62,Xtrackers MSCI USA ESG Screened UCITS ETF 1C,XRSM,ETF,"0,07%",Accumulating,EUR,"Equity,UnitedStates,Social/Environmental"
780,IE00BM67HW99,Xtrackers S&P 500 UCITS ETF 1C EUR Hedged,XDPE,ETF,"0,20%",Accumulating,EUR,"Equity,UnitedStates"
781,LU1048315243,UBS ETF (LU) Bloomberg US Liquid Corporates 1-5 UCITS ETF (hedged to EUR) A-acc,UEF8,ETF,"0,23%",Accumulating,EUR,"Bonds,UnitedStates,Corporate,3-5"
782,IE00BQT3WG13,iShares MSCI China A UCITS ETF USD (Acc),36BZ,ETF,"0,40%",Accumulating,EUR,"Equity,China"
783,IE00BQWJFQ70,SPDR Morningstar Multi-Asset Global Infrastructure UCITS ETF,ZPRI,ETF,"0,40%",Distributing,EUR,"Equity,World,Infrastructure,Multi-AssetStrategy"
784,IE00BPVLQD13,Xtrackers MSCI Japan ESG Screened UCITS ETF 1D,XDNY,ETF,"0,15%",Distributing,EUR,"Equity,Japan,Social/Environmental"
785,IE00BRB36B93,Xtrackers MSCI Japan ESG Screened UCITS ETF 3C EUR Hedged,XDNE,ETF,"0,25%",Accumulating,EUR,"Equity,Japan,Social/Environmental"
